combination,indepent_prob,directe_cond_prob,inverse_cond_prob
2423,0.004357828,0.005125222210594575,0.004495666461581169,0.004426040986344029
3332,0.004325891,0.004042161181344037,0.004024237599016744,0.0040158192562292794
1142,0.004101909,0.002232063457773751,0.004259109710492051,0.004304937683662574
3211,0.003929757,0.0023997508175006878,0.0043977391123654645,0.004370285954070691
2142,0.003797811,0.005291583115945097,0.0036307822491663966,0.0036821876619109414
1221,0.003748404,0.0074558575539657975,0.0036138099149948177,0.0036151713723165803
1121,0.003667079,0.0027443311044987903,0.003186345991042129,0.003173284570433021
1224,0.003579922,0.005660471649241465,0.0034729237533756294,0.003462442485015397
2333,0.003579190,0.004261219408326633,0.0034714907389911697,0.003492408141671346
2111,0.003462342,0.00227048015918236,0.004522328308615888,0.004491591528910583
4212,0.003445003,0.004946924232302588,0.0033125115898186707,0.003286569286536327
2442,0.003256597,0.0023819860156552943,0.002895919395268772,0.002854495460733401
1212,0.003225172,0.01110287958753495,0.004178031342717688,0.004179602551623315
2244,0.003187708,0.002557795532432286,0.0028835710506665804,0.0028654054193211244
1321,0.003171168,0.0027753416410395337,0.002600080151640248,0.002586547076883583
2311,0.003140391,0.0022961362499601583,0.0032670177930654593,0.0032880167373751028
1213,0.003046378,0.004553477995905036,0.002940332717729616,0.0029435557991780714
4224,0.002921958,0.002522041615161869,0.002753473882780939,0.0027226409657613057
4213,0.002890463,0.002028816980460506,0.002331214250553437,0.0023146220156811752
1124,0.002886182,0.002083490504037891,0.003062124721294116,0.003039223921125078
2124,0.002869414,0.004939359199220567,0.0026103831172557034,0.0025995713867407793
4122,0.002866208,0.0052176151921771155,0.0033898327900637694,0.0034391701187161277
1242,0.002773990,0.006064117833774594,0.0030635268537830625,0.0030162334877691386
3243,0.002761115,0.0022937267086293243,0.002673408009524571,0.002684348013816493
1324,0.002671383,0.002107033639303837,0.002498714744747407,0.0024772741223482585
2113,0.002661833,0.003973390349995999,0.005513894712665269,0.005501578340868546
1211,0.002643592,0.0026019546367968232,0.002411571235771864,0.002403174048118086
1432,0.002611525,0.001950836357762096,0.0024437171104291357,0.0025008490147876076
2134,0.002557557,0.0018279547819370853,0.0017208755025237517,0.0016898334497736382
4422,0.002503713,0.0023486896360725047,0.002605397624668078,0.00257792578286083
1233,0.002451244,0.004828763797486532,0.002311656876442695,0.0023212515932439478
