structure,probabilty
3423,0.0016955207689863337
2331,0.0016701172281762143
4112,0.0016558090755977172
3111,0.0016242340735738968
2131,0.0016137935483348522
3241,0.0016001884288231348
1311,0.001599752889021035
3313,0.0015755158128944564
2411,0.0014860250893852151
1243,0.0014660064393369125
2443,0.001385800315744616
3333,0.0013730643657932653
3142,0.0013040274478940367
1442,0.0012941186867526694
3311,0.0012921900276693058
2341,0.0012875821383280367
2314,0.0012809122250618974
1141,0.0012199411880961326
3133,0.0012047683757861923
4312,0.0012034673426144075
4123,0.0011973664771211924
1234,0.00118592109350953
4113,0.0011652927419464254
4243,0.0011623089734634521
1412,0.0011504967050039478
3244,0.001141477072734494
4321,0.0011290067646212683
4432,0.0011194173644905536
1231,0.0011121268254055336
3442,0.0010921832217645477
4324,0.0010849918791538302
1343,0.001053344582605995
2141,0.001039968705162724
3121,0.0009755753932729829
3412,0.0009709721455717295
1421,0.0009631756787106332
2434,0.0009572006728106613
4342,0.0009557979346082521
4111,0.0009557375737741735
1214,0.000945514004871511
4234,0.0009402460260878403
3124,0.0009375421054793835
1424,0.0009256257999039355
4423,0.0009202860343120504
2344,0.0009184827634610744
2431,0.0008976385961553918
4231,0.0008817389570150482
1241,0.0008774891570794373
1334,0.0008720669681641447
1144,0.0008702318247110184
3343,0.0008508322595847217
4313,0.0008469525745363382
1433,0.000833792936388588
2441,0.0008294811798324567
1331,0.0008178023598309706
3421,0.0008128808637630659
1413,0.0008096739411157182
3424,0.0007811903024321906
4142,0.0007673204555072841
4214,0.00074964159972899
2144,0.0007418504045662211
4333,0.0007381204238605851
4133,0.0007089140802841067
3334,0.0007044064414292777
3433,0.0007036871230370033
4241,0.0006957087595410743
4311,0.0006946446755834724
3413,0.0006833316778738184
1411,0.0006640698771860083
3331,0.0006605745557519728
3114,0.0006368196970395881
1341,0.0006304873055831832
1314,0.0006272212649023901
1244,0.0006259473799069715
3143,0.0006240234628020376
1443,0.0006192817685612452
3134,0.0006180676051874603
4442,0.0005928095864616071
2444,0.0005917014096520245
2414,0.0005826315693114691
3131,0.0005796081774791429
4121,0.0005740515327011364
3411,0.0005604478054186525
4124,0.0005516718506159508
4412,0.0005270192625301143
3443,0.0005226484742790325
3341,0.0005092720347235871
3314,0.0005066339115317825
4244,0.000496276303473049
4343,0.00045738326893081073
1344,0.0004497512861673715
4421,0.0004412112904567409
1434,0.000427750606484521
4424,0.0004240104507231468
1431,0.0004011337066677271
4433,0.00038194367400367686
4334,0.0003786689058946774
4114,0.0003747197045565056
3141,0.00037351392714183706
4413,0.0003708952502694849
1441,0.00037067575046618534
4143,0.0003671900990257384
4134,0.000363685532166249
3344,0.00036328368644019987
3434,0.0003610040101300931
4331,0.00035510612847451656
4131,0.00034105509932117785
3431,0.00033854043573550895
3441,0.0003128351669119539
4411,0.00030419697459440595
4443,0.00028368044823246365
4341,0.0002737701884159992
4314,0.0002723520082803533
3144,0.0002664421117536737
1444,0.0002644175291824768
1414,0.00026036442953828365
3444,0.00022315757578480325
4141,0.00021978438964275393
3414,0.00021973692552077254
4434,0.00019594389814050608
4344,0.00019529099676398538
4431,0.00018375123487491548
4441,0.00016979906139567375
4144,0.0001567808123113714
4444,0.00012112432015118699
4414,0.00011926767721066121
