combination,indepent_prob,directe_cond_prob,inverse_cond_prob
1223,0.007717398,0.005330517145200371,0.00017965164725968104,0.00017347367286276155
1123,0.007195327,0.002392687045755175,0.0005491921900618885,0.0005735057355549531
3212,0.007189086,0.0030509635342991026,0.0004299681568959695,0.00041171941784372886
2243,0.006808215,0.0009122577133980313,5.471803801737965e-05,6.171947123266228e-06
4322,0.006639113,0.0013625395260370978,2.7786978315147773e-05,6.381812739397925e-05
3221,0.006458519,0.0004179268869754062,0.00013162147442813063,0.00011584155551864692
1232,0.006436091,0.005338026070150676,0.0003390149236264144,0.00032463078031033047
1132,0.006341966,0.002008182063041903,0.0051906643403258354,0.0050579329078989455
3213,0.006340251,0.0021406341471110427,0.0009782629300151427,0.0009872552091852935
3122,0.006214403,0.004585972245273641,0.00045353090244594756,0.00040146638964040117
3224,0.006201305,0.0009807214911233333,0.00013191559822740145,9.53108322532233e-05
4223,0.006119653,0.0003061118277363894,0.0001434239805393183,0.00018759853135348267
2112,0.005904752,0.003783682785443723,0.0019301521219216413,0.001907028187034492
2123,0.005640412,0.005745271684456093,2.5248181057506078e-05,2.3500082131364293e-05
2432,0.005630707,0.0010058327847293214,0.00016226902048227954,0.00014063255860910073
2234,0.005604435,0.0006382082765293857,0.0001412158167402658,0.00020532590198283317
1422,0.005484680,0.00021327963216650168,0.00020297051967043973,0.00022695972952060418
2312,0.005402582,0.0043953306689411215,0.0002575048903111785,0.00031593978416911105
3242,0.005381823,0.00021103842933529494,0.00020482178445379966,0.00010334061356253969
1323,0.005360515,0.0005036059229263012,6.277652359052126e-05,3.693740461011615e-05
1113,0.005279890,0.0036038586102685524,0.0011882154664556808,0.0011521428277173097
4232,0.005246060,6.371686571068902e-08,0.0001255169589376411,7.013461026390399e-05
2321,0.005220288,0.001359252074255705,8.959965646375672e-05,6.799020878788496e-05
2231,0.005157158,0.00138425432839795,3.388914170438309e-05,7.060751214136088e-05
2324,0.005026948,3.1774770655959225e-05,7.593106770422287e-05,3.7918159015618014e-05
2133,0.004928422,0.0007148157208881683,0.0015740051583715384,0.0015805472632946654
3132,0.004872440,0.0008754442805090452,0.0013414517107917814,0.0013399332704525477
1332,0.004806578,0.0004238229440262659,0.00017549552423683484,0.00016852336622400627
2313,0.004707694,0.0006894049253431201,0.0007243493805819574,0.0006803282989288695
2241,0.004691502,0.0013224260070938622,0.000649145706402063,0.000584492966367204
3422,0.004681600,0.00018014784263529603,0.00011854432403578165,0.00012275191276981366
2214,0.004671596,1.150821805469878e-05,0.00031586754747014653,0.0001731302682330075
2342,0.004519614,0.0008317632243551171,2.4353374389481618e-05,3.6102969839694327e-05
3233,0.004376989,7.652056802283369e-05,0.00016145362244073067,0.0001556829145076188
3323,0.004362770,0.00011669761384842763,1.78585783397623e-05,6.035994906686271e-06
2423,0.004357828,0.000767394210594575,0.00013783846158116862,6.821298634402881e-05
3332,0.004325891,0.00028372981865596326,0.00030165340098325596,0.00031007174377072066
1142,0.004101909,0.001869845542226249,0.00015720071049205118,0.00020302868366257366
3211,0.003929757,0.001530006182499312,0.0004679821123654646,0.0004405289540706913
2142,0.003797811,0.0014937721159450973,0.00016702875083360325,0.00011562333808905851
1221,0.003748404,0.0037074535539657976,0.00013459408500518218,0.00013323262768341962
1121,0.003667079,0.0009227478955012099,0.000480733008957871,0.0004937944295669793
1224,0.003579922,0.0020805496492414645,0.00010699824662437074,0.00011747951498460333
2333,0.003579190,0.0006820294083266332,0.00010769926100883016,8.6781858328654e-05
2111,0.003462342,0.0011918618408176401,0.0010599863086158878,0.0010292495289105832
4212,0.003445003,0.001501921232302588,0.0001324914101813292,0.00015843371346367305
2442,0.003256597,0.0008746109843447056,0.000360677604731228,0.000402101539266599
1212,0.003225172,0.00787770758753495,0.0009528593427176879,0.0009544305516233148
2244,0.003187708,0.000629912467567714,0.0003041369493334196,0.00032230258067887565
1321,0.003171168,0.0003958263589604661,0.0005710878483597519,0.0005846209231164167
